date,jumlahpenderita
2021-12-31,23.48573663987872
2022-01-01,27.16527402146583
2022-01-02,22.235519334914837
2022-01-03,22.889212504920945
2022-01-04,33.45616653734066
2022-01-05,43.64897161787027
2022-01-06,28.34949448691661
2022-01-07,22.904140697836365
2022-01-08,39.7568200279481
2022-01-09,33.52910333914782
2022-01-10,23.858015926316096
2022-01-11,30.43061198543779
2022-01-12,27.111283772748234
2022-01-13,37.89126513180506
2022-01-14,30.418319869072885
2022-01-15,36.09050623120354
2022-01-16,22.354656070131934
2022-01-17,22.235519334914837
2022-01-18,28.689409763862553
2022-01-19,34.36288520333549
2022-01-20,22.904140697836365
2022-01-21,28.34949448691661
2022-01-22,25.00882088349466
2022-01-23,22.284643948037907
2022-01-24,22.354656070131934
2022-01-25,30.418319869072885
2022-01-26,26.53746155659365
2022-01-27,23.455989208492834
2022-01-28,23.455989208492834
2022-01-29,24.566740195348526
