date,jumlahpenderita
12/20/2020,2
12/21/2020,24
12/22/2020,22
12/23/2020,26
12/24/2020,8
12/25/2020,10
12/26/2020,14
12/27/2020,3
12/28/2020,34
12/29/2020,13
12/30/2020,15
12/31/2020,8
1/1/2021,23
1/2/2021,17
1/3/2021,1
1/4/2021,58
1/5/2021,40
1/6/2021,28
1/7/2021,54
1/8/2021,47
1/9/2021,14
1/10/2021,4
1/11/2021,38
1/12/2021,52
1/13/2021,43
1/14/2021,50
1/15/2021,20
1/16/2021,23
1/17/2021,6
1/18/2021,48
1/19/2021,28
1/20/2021,40
1/21/2021,34
1/22/2021,24
1/23/2021,20
1/24/2021,0
1/25/2021,43
1/26/2021,37
1/27/2021,30
1/28/2021,30
1/29/2021,33
1/30/2021,2
1/31/2021,0
2/1/2021,57
2/2/2021,25
2/3/2021,25
2/4/2021,40
2/5/2021,14
2/6/2021,13
2/7/2021,2
2/8/2021,35
2/9/2021,25
2/10/2021,33
2/11/2021,35
2/12/2021,8
2/13/2021,16
2/14/2021,0
2/15/2021,47
2/16/2021,29
2/17/2021,36
2/18/2021,65
2/19/2021,28
2/20/2021,9
2/21/2021,3
2/22/2021,50
2/23/2021,26
2/24/2021,34
2/25/2021,43
2/26/2021,26
2/27/2021,12
2/28/2021,2
3/1/2021,55
3/2/2021,32
3/3/2021,48
3/4/2021,45
3/5/2021,30
3/6/2021,14
3/7/2021,3
3/8/2021,40
3/9/2021,43
3/10/2021,53
3/11/2021,5
3/12/2021,25
3/13/2021,11
3/14/2021,0
3/15/2021,60
3/16/2021,53
3/17/2021,39
3/18/2021,46
3/19/2021,29
3/20/2021,13
3/21/2021,3
3/22/2021,45
3/23/2021,40
3/24/2021,25
3/25/2021,32
3/26/2021,24
3/27/2021,8
3/28/2021,3
3/29/2021,55
3/30/2021,42
3/31/2021,19
4/1/2021,47
4/2/2021,10
4/3/2021,14
4/4/2021,7
4/5/2021,61
4/6/2021,32
4/7/2021,27
4/8/2021,52
4/9/2021,20
4/10/2021,22
4/11/2021,0
4/12/2021,65
4/13/2021,38
4/14/2021,43
4/15/2021,43
4/16/2021,21
4/17/2021,21
4/18/2021,5
4/19/2021,61
4/20/2021,36
4/21/2021,32
4/22/2021,47
4/23/2021,28
4/24/2021,31
4/25/2021,4
4/26/2021,36
4/27/2021,34
4/28/2021,34
4/29/2021,51
4/30/2021,16
5/1/2021,5
5/2/2021,4
5/3/2021,40
5/4/2021,39
5/5/2021,46
5/6/2021,39
5/7/2021,27
5/8/2021,12
5/9/2021,4
5/10/2021,48
5/11/2021,40
5/12/2021,8
5/13/2021,13
5/14/2021,3
5/15/2021,2
5/16/2021,1
5/17/2021,46
5/18/2021,29
5/19/2021,38
5/20/2021,51
5/21/2021,33
5/22/2021,13
5/23/2021,3
5/24/2021,71
5/25/2021,38
5/26/2021,11
5/27/2021,64
5/28/2021,39
5/29/2021,15
5/30/2021,5
5/31/2021,52
6/1/2021,12
6/2/2021,53
6/3/2021,63
6/4/2021,44
6/5/2021,15
6/6/2021,13
6/7/2021,69
6/8/2021,51
6/9/2021,42
6/10/2021,62
6/11/2021,35
6/12/2021,16
6/13/2021,1
6/14/2021,47
6/15/2021,28
6/16/2021,22
6/17/2021,37
6/18/2021,27
6/19/2021,16
6/20/2021,2
6/21/2021,36
6/22/2021,26
6/23/2021,18
6/24/2021,26
6/25/2021,13
6/26/2021,7
6/27/2021,0
6/28/2021,26
6/29/2021,15
6/30/2021,15
7/1/2021,39
7/2/2021,9
7/3/2021,8
7/4/2021,0
7/5/2021,45
7/6/2021,21
7/7/2021,15
7/8/2021,30
7/9/2021,16
7/10/2021,2
7/11/2021,0
7/12/2021,36
7/13/2021,28
7/14/2021,29
7/15/2021,28
7/16/2021,22
7/17/2021,9
7/18/2021,2
7/19/2021,21
7/20/2021,5
7/21/2021,20
7/22/2021,35
7/23/2021,13
7/24/2021,18
7/25/2021,3
7/26/2021,39
7/27/2021,18
7/28/2021,10
7/29/2021,26
7/30/2021,29
7/31/2021,5
8/1/2021,4
8/2/2021,39
8/3/2021,26
8/4/2021,18
8/5/2021,27
8/6/2021,23
8/7/2021,11
8/8/2021,3
8/9/2021,37
8/10/2021,23
8/11/2021,8
8/12/2021,35
8/13/2021,25
8/14/2021,13
8/15/2021,2
8/16/2021,45
8/17/2021,6
8/18/2021,40
8/19/2021,45
8/20/2021,37
8/21/2021,13
8/22/2021,6
8/23/2021,48
8/24/2021,44
8/25/2021,39
8/26/2021,31
8/27/2021,31
8/28/2021,21
8/29/2021,3
8/30/2021,64
8/31/2021,41
9/1/2021,25
9/2/2021,57
9/3/2021,33
9/4/2021,22
9/5/2021,1
9/6/2021,54
9/7/2021,49
9/8/2021,32
9/9/2021,60
9/10/2021,40
9/11/2021,18
9/12/2021,4
9/13/2021,53
9/14/2021,39
9/15/2021,43
9/16/2021,45
9/17/2021,46
9/18/2021,20
9/19/2021,1
9/20/2021,71
9/21/2021,54
9/22/2021,51
9/23/2021,54
9/24/2021,41
9/25/2021,20
9/26/2021,5
9/27/2021,74
9/28/2021,44
9/29/2021,36
9/30/2021,83
10/1/2021,53
10/2/2021,22
10/3/2021,6
10/4/2021,75
10/5/2021,45
10/6/2021,55
10/7/2021,51
10/8/2021,28
10/9/2021,36
10/10/2021,10
10/11/2021,61
10/12/2021,56
10/13/2021,42
10/14/2021,61
10/15/2021,50
10/16/2021,31
10/17/2021,9
10/18/2021,79
10/19/2021,64
10/20/2021,13
10/21/2021,78
10/22/2021,47
10/23/2021,39
10/24/2021,7
10/25/2021,83
10/26/2021,57
10/27/2021,44
10/28/2021,79
10/29/2021,58
10/30/2021,19
11/1/2021,93
11/2/2021,58
11/3/2021,52
11/4/2021,74
11/5/2021,47
11/6/2021,42
11/7/2021,3
11/8/2021,87
11/9/2021,75
11/10/2021,52
11/11/2021,84
11/12/2021,57
11/13/2021,25
11/14/2021,7
11/15/2021,84
11/16/2021,75
11/17/2021,122
11/18/2021,150
11/19/2021,113
11/20/2021,119
11/21/2021,7
11/22/2021,172
11/23/2021,117
11/24/2021,75
11/25/2021,122
11/26/2021,88
11/27/2021,66
11/28/2021,11
11/29/2021,102
11/30/2021,136
12/1/2021,61
12/2/2021,58
12/3/2021,97
12/4/2021,33
12/5/2021,15
12/6/2021,77
12/7/2021,66
12/8/2021,66
12/9/2021,55
12/10/2021,49
12/11/2021,41
12/12/2021,14
12/13/2021,91
12/14/2021,59
12/15/2021,74
12/16/2021,68
12/17/2021,78
12/18/2021,28
12/19/2021,5
12/20/2021,67
12/21/2021,73
12/22/2021,80
12/23/2021,85
12/24/2021,63
12/25/2021,20
12/26/2021,4
12/27/2021,67
12/28/2021,56
12/29/2021,74
12/30/2021,56
12/31/2021,40
