date,jumlahpenderita
2021-12-31,0.0
2022-01-01,23.48573663987872
2022-01-02,27.16527402146583
2022-01-03,22.23551933491484
2022-01-04,22.889212504920945
2022-01-05,33.45616653734066
2022-01-06,43.64897161787027
2022-01-07,28.34949448691661
2022-01-08,22.904140697836365
2022-01-09,39.7568200279481
2022-01-10,33.52910333914782
2022-01-11,23.858015926316096
2022-01-12,30.43061198543779
2022-01-13,27.111283772748237
2022-01-14,37.89126513180506
2022-01-15,30.418319869072885
2022-01-16,36.09050623120354
2022-01-17,22.35465607013193
2022-01-18,22.23551933491484
2022-01-19,28.689409763862557
2022-01-20,34.36288520333549
2022-01-21,22.904140697836365
2022-01-22,28.34949448691661
2022-01-23,25.00882088349466
2022-01-24,22.284643948037907
2022-01-25,22.35465607013193
2022-01-26,30.418319869072885
2022-01-27,26.53746155659365
2022-01-28,23.455989208492834
2022-01-29,23.455989208492834
